date,open,high,low,close,volume,value
2020-01-06,5.35,5.66,5.33,5.57,17668483.12749344,97125531.72595397
2020-01-07,5.56,5.66,5.43,5.54,13808473.7115747,76575414.74500261
2020-01-08,5.53,5.63,5.19,5.29,26352321.56042891,142462322.44676027
2020-01-09,5.29,5.49,5.19,5.34,13765748.74433763,72555097.09054628
2020-01-10,5.34,5.37,5.17,5.25,8291898.19574025,43520482.67117516
2020-01-11,5.28,5.32,5.2,5.25,8156395.1731133,42806169.27806199
2020-01-12,5.26,5.42,5.25,5.36,5246363.21008961,27798615.92031108
2020-01-13,5.4,5.4,5.24,5.33,5662528.24628492,30026802.35482827
2020-01-14,5.32,5.63,5.26,5.58,40789782.08565066,223867546.6278872
2020-01-15,5.52,5.89,5.46,5.73,48511724.47147516,277151375.643317
2020-01-16,5.74,5.86,5.58,5.77,19997661.68105958,114085237.45525797
2020-01-17,5.77,6.11,5.75,6.02,20900070.98142826,123434297.49604724
2020-01-18,6.06,6.12,5.82,6.0,12689496.47568953,76165749.52476452
2020-01-19,6.01,6.06,5.52,5.72,19837564.77930841,114281296.5943274
2020-01-20,5.72,6.0,5.59,5.74,21808230.1107957,125252241.80563729
2020-01-21,5.78,6.29,5.7,6.19,50448084.96779553,307689900.02603745
2020-01-22,6.19,7.49,6.05,6.76,102777919.20835818,695399440.2616906
2020-01-23,6.78,7.18,6.1,6.6,71346753.43944244,472279966.5961235
2020-01-24,6.59,6.88,6.22,6.69,35366064.49469553,233938137.43211237
2020-01-25,6.69,6.69,6.31,6.53,15881960.43748697,102271779.7157409
2020-01-26,6.53,6.55,6.36,6.55,13222494.97976645,85103034.18949334
2020-01-27,6.55,6.69,6.36,6.49,14953557.33063878,96536121.65298574
2020-01-28,6.49,6.75,6.3,6.7,31543287.21331276,206096073.6445682
2020-01-29,6.7,6.82,6.55,6.76,25177994.57720671,168414449.86945206
2020-01-30,6.76,6.83,6.51,6.7,13774744.58757968,91695730.63636436
2020-01-31,6.7,7.17,6.68,6.99,47067429.45065056,325389161.9021158
2020-02-01,6.98,7.23,6.91,7.17,26157313.48620382,184287905.38488072
2020-02-02,7.2,7.39,7.01,7.37,25712494.03340119,184432491.52633014
2020-02-03,7.37,7.78,7.25,7.54,47867052.73300975,356336533.7347592
2020-02-04,7.54,8.14,7.34,8.02,122212860.26001883,938551633.3177959
2020-02-05,7.99,8.4,7.9,8.16,45091243.39591854,366584651.8563233
2020-02-06,8.17,8.68,7.9,8.57,45048269.48362748,368607967.52354026
2020-02-07,8.55,10.2,8.34,9.8,126812624.25668724,1151413159.5228932
2020-02-08,9.72,9.93,8.94,9.49,115711947.2324973,1078320881.4188192
2020-02-09,9.48,9.72,8.97,9.2,108170748.40588835,1007154231.491927
2020-02-10,9.2,9.5,8.53,8.91,76702688.65583096,687184364.6287178
2020-02-11,8.91,9.34,8.53,9.3,78799160.7867614,711910609.7294264
2020-02-12,9.3,11.0,9.2,10.4,162190678.63625616,1599792578.4566486
2020-02-13,10.4,11.4,9.1,11.1,266666889.00321075,2814513599.337046
2020-02-14,11.1,12.4,10.3,11.9,195420228.44176254,2214378518.8908434
2020-02-15,12.0,14.0,10.3,11.4,326142784.38605976,4042820109.0271473
2020-02-16,11.4,13.2,8.91,10.5,236332207.8281226,2614443166.812608
2020-02-17,10.5,10.5,8.9,10.2,97488439.91984373,920684229.6431049
2020-02-18,10.2,10.9,9.48,10.5,125480741.08186811,1282164197.9510055
2020-02-19,10.4,10.4,9.48,9.5,69894520.97759111,693827107.8844151
2020-02-20,9.51,9.68,8.53,8.96,39924870.1026974,363289917.62489855
2020-02-21,8.96,9.3,8.42,8.88,37064265.8793821,326279002.69568104
2020-02-22,8.88,8.88,8.24,8.81,37132053.06139107,315644739.31746316
2020-02-23,8.83,9.21,8.56,9.2,26317732.31772088,235402483.67701626
2020-02-24,9.19,9.24,8.5,8.72,21175919.90145189,188615521.28466493
2020-02-25,8.72,8.72,7.85,7.89,27195776.68774433,225764086.80050924
2020-02-26,7.89,7.95,6.67,6.75,50111283.86986476,361635527.26357454
2020-02-27,6.83,7.64,6.35,7.2,69521033.11265378,494383455.4909501
2020-02-28,7.24,7.6,6.93,7.36,48828877.90101115,356520612.4481041
2020-02-29,7.4,7.7,7.18,7.42,23088040.69260888,172255443.05608463
2020-03-01,7.46,8.76,7.37,7.81,73143798.50741917,575332422.4463022
2020-03-02,7.81,7.96,7.45,7.96,23044367.63492009,176313297.68582532
2020-03-03,7.93,7.94,7.6,7.73,16115630.5082499,124707538.612522
2020-03-04,7.73,7.77,7.19,7.43,31198808.19932592,232262164.06929463
2020-03-05,7.42,7.86,7.34,7.7,17247398.74063998,130882110.4051259
2020-03-06,7.72,8.37,7.35,8.24,64046381.72514733,494870848.9759704
2020-03-07,8.24,8.89,7.64,8.1,48694485.5700374,409206032.82740766
2020-03-08,8.04,8.06,6.79,6.88,34791203.03866563,256727268.77065402
2020-03-09,6.87,7.15,6.46,7.05,51811339.80918965,354638986.95726854
2020-03-10,7.0,7.2,6.73,7.01,17578997.60804493,122687413.50023755
2020-03-11,7.09,7.22,6.32,6.79,48189254.28258439,333332710.8352765
2020-03-12,6.77,6.77,3.87,4.16,76398959.3215884,415255202.33036053
2020-03-13,4.16,4.89,3.15,4.55,117339370.35615323,504131912.07040995
2020-03-14,4.69,4.98,4.23,4.58,166008086.28994435,783488243.2869476
2020-03-15,4.59,4.97,4.51,4.66,129156756.52629536,611087570.9943547
2020-03-16,4.7,4.73,3.77,4.3,92620588.89860393,397462738.1024239
2020-03-17,4.29,4.95,4.26,4.49,35981005.4377104,161687062.8951528
2020-03-18,4.49,4.55,4.1,4.4,33516908.40038795,143608603.88640943
2020-03-19,4.41,5.27,4.29,5.07,70409834.14357756,337717024.87491953
2020-03-20,5.08,5.6,4.53,4.91,94493490.43637602,484891092.05756587
2020-03-21,4.87,5.17,4.65,4.89,36459162.49804082,177426190.32207683
2020-03-22,4.88,6.35,4.55,4.57,185284834.8537583,943252430.4068367
2020-03-23,4.56,4.89,4.42,4.79,60886711.66760771,284366261.1765125
2020-03-24,4.83,4.92,4.58,4.88,29944009.70993841,143483190.1643264
2020-03-25,4.87,4.92,4.65,4.81,17346133.88691399,82407339.28119148
2020-03-26,4.83,4.91,4.57,4.83,31771438.0688757,152016646.525426
2020-03-27,4.83,4.86,4.55,4.55,26834357.29753375,127833548.90348274
2020-03-28,4.55,4.74,4.35,4.6,28716264.6011844,129315352.49688369
2020-03-29,4.6,4.64,4.32,4.32,8105996.42432906,36443728.95354819
2020-03-30,4.39,4.68,4.31,4.67,14578736.46832151,65893048.13983079
2020-03-31,4.66,4.7,4.45,4.64,22278547.08222409,102872036.91880596
2020-04-01,4.66,4.71,4.5,4.71,9660352.60025936,44232533.2641751
2020-04-02,4.71,4.87,4.7,4.75,43678306.09402615,208329122.96475422
2020-04-03,4.75,4.86,4.72,4.8,15962446.60510931,76461839.4529571
2020-04-04,4.79,4.9,4.73,4.9,14002793.81299812,66876561.24107444
2020-04-05,4.9,5.57,4.84,5.27,179353094.88208044,939641165.5498474
2020-04-06,5.27,5.96,5.18,5.64,231741714.49751654,1316175296.7238195
2020-04-07,5.64,5.73,5.31,5.41,40279991.71672656,223184245.36160144
2020-04-08,5.44,5.68,5.4,5.55,58008777.64085469,321721004.14277697
2020-04-09,5.55,5.71,5.38,5.59,19400561.23757181,107249747.48174037
2020-04-10,5.59,5.7,4.96,5.09,30169356.79659147,161494470.8148564
2020-04-11,5.14,5.28,5.05,5.22,10182916.84178525,52386375.92317304
2020-04-12,5.22,5.39,5.15,5.16,3983948.05084928,20899772.81554804
2020-04-13,5.16,5.16,5.0,5.04,7298178.71370223,36943383.30868208
2020-04-14,5.07,5.15,4.98,5.04,9247656.40947257,46895100.65942701
2020-04-15,5.04,5.14,4.83,4.9,13847117.03498676,69158974.16098642
2020-04-16,4.9,5.21,4.75,5.16,17057821.92305175,85492740.11181897
2020-04-17,5.19,5.19,5.06,5.06,6449349.37638358,33020056.67152065
2020-04-18,5.07,5.3,5.05,5.26,31033772.19381806,161767565.82946733
2020-04-19,5.28,5.3,5.12,5.18,15003735.89462394,78222173.9679478
2020-04-20,5.17,5.3,4.93,4.93,27271699.35532356,141005946.73863757
2020-04-21,4.95,5.14,4.93,5.06,18144439.28058041,90953326.14925832
2020-04-22,5.07,5.21,4.95,5.09,16222780.21100312,82765457.37961255
2020-04-23,5.09,5.34,5.0,5.22,18211149.35541279,94279379.83589162
2020-04-24,5.24,5.8,5.24,5.58,52960145.05854218,295246338.81986356
2020-04-25,5.62,5.8,5.54,5.8,19882092.48996549,113541755.77570847
2020-04-26,5.8,6.4,5.8,6.18,27951385.69474545,170316355.27030334
2020-04-27,6.19,6.38,5.8,6.14,26020927.97250079,158790189.90841
2020-04-28,6.14,6.16,5.91,6.03,5089483.84699938,30786974.92282865
2020-04-29,6.03,6.46,6.03,6.36,38314872.90028355,241054276.13668635
2020-04-30,6.43,6.96,6.14,6.65,112088251.0929792,742996600.1332265
2020-05-01,6.71,7.46,6.65,7.28,64108554.67345509,451415877.4344225
2020-05-02,7.25,7.63,7.06,7.57,41944971.00155572,307939848.3066283
2020-05-03,7.5,7.6,7.08,7.41,18882007.06504913,139403791.15589017
2020-05-04,7.41,9.6,7.28,8.44,593086351.6098479,5148242246.6625805
2020-05-05,8.41,9.36,8.08,9.27,119287749.2511491,1022102776.927003
2020-05-06,9.28,10.2,8.61,8.64,233458631.87135452,2189596409.4933596
2020-05-07,8.64,9.16,8.2,8.56,59698738.61790669,519134484.15072
2020-05-08,8.56,9.29,8.29,8.49,48522758.46830932,424381373.50348526
2020-05-09,8.49,8.9,8.43,8.72,17671329.55914879,151773937.91185424
2020-05-10,8.75,8.99,7.41,8.3,73416681.57220183,600494304.5575384
2020-05-11,8.41,8.99,7.9,8.47,25681792.51603245,219848727.43022373
2020-05-12,8.53,9.41,8.4,9.2,24388805.1034732,213807836.50915802
2020-05-13,9.31,11.5,9.18,11.4,250235113.88132474,2688332760.1264887
2020-05-14,11.4,13.4,10.5,12.7,200735172.00502336,2331077344.5359726
2020-05-15,12.7,13.4,11.8,12.3,96712767.45544794,1219613345.6469455
2020-05-16,12.2,13.4,12.0,13.2,58886750.96290237,752481995.3822109
2020-05-17,13.2,13.2,12.5,12.6,38441561.56865318,489719474.608077
2020-05-18,12.6,12.6,11.7,12.0,64976151.06226253,786149496.272959
2020-05-19,12.0,12.4,11.3,11.8,44066836.85262554,520979195.9452528
2020-05-20,11.9,12.2,11.4,11.7,25016551.8018127,294278801.23870265
2020-05-21,11.7,12.5,10.4,12.0,55215186.0982176,626110899.4675109
2020-05-22,12.0,12.8,11.3,12.3,42652153.99991218,510233313.91478443
2020-05-23,12.3,13.0,11.7,11.9,57063116.69453551,704576968.3419627
2020-05-24,12.0,13.1,11.5,12.1,45551980.72500171,556213463.8285065
2020-05-25,11.9,16.8,11.8,15.1,513041187.04850954,7764658099.035672
2020-05-26,15.2,16.2,14.0,15.0,123347166.37754022,1858141384.2914927
2020-05-27,15.0,15.4,14.1,14.9,31668294.95065103,464495639.63746405
2020-05-28,14.9,15.9,14.4,14.9,31557158.55374005,481405674.4144047
2020-05-29,14.9,15.3,14.4,15.0,11538472.73701376,170447893.86192432
2020-05-30,15.1,17.1,14.9,16.1,57880325.97601611,936882697.6051662
2020-05-31,16.1,18.7,15.9,17.8,130461712.90614155,2261130211.297571
2020-06-01,17.8,21.3,17.3,19.4,224538804.54046243,4449140476.159118
2020-06-02,19.4,23.8,19.3,21.9,276829232.9551716,6049747058.757329
2020-06-03,22.0,22.4,20.3,21.6,70159219.62097628,1477222276.0156913
2020-06-04,21.8,21.8,19.7,19.7,56408130.44649267,1169643363.376341
2020-06-05,19.7,21.9,19.6,21.7,60998206.3793038,1273914495.1007154
2020-06-06,21.6,27.1,21.5,25.5,263207402.76873383,6487815368.544793
2020-06-07,25.4,27.5,23.9,26.8,242148208.1989503,6301564131.962882
2020-06-08,26.9,27.0,25.1,25.5,33730516.3360882,874770830.1182709
2020-06-09,25.5,29.4,24.7,29.4,53910882.32004518,1462920981.694847
2020-06-10,29.4,34.3,28.4,32.6,132966947.6605125,4100547521.822431
2020-06-11,32.5,35.7,28.8,30.0,202845989.95211142,6558855906.619356
2020-06-12,30.0,32.3,29.5,31.2,169635935.8340819,5276458527.757808
2020-06-13,31.2,31.4,26.1,27.3,238545124.53129134,6778302930.838431
2020-06-14,27.3,29.3,26.0,27.6,211571691.91207156,5837080002.572581
2020-06-15,27.6,31.0,25.1,30.1,273863311.1554701,7580418952.066168
2020-06-16,30.2,32.0,29.1,30.2,114926498.0501775,3507650763.9355664
2020-06-17,30.2,30.2,27.9,28.4,75111957.90244596,2175283563.8786774
2020-06-18,28.4,28.4,24.6,25.3,111380406.32797275,2925965773.9040647
2020-06-19,25.3,26.6,22.4,22.8,155669866.21328473,3808417764.8768044
2020-06-20,22.8,23.5,21.3,23.3,201411129.36319998,4505250088.569068
2020-06-21,23.3,25.6,23.1,23.9,138947046.2380951,3373138894.0259876
2020-06-22,24.2,25.0,23.2,24.0,76073728.50813287,1838519568.5740478
2020-06-23,24.0,24.1,22.5,23.1,43027091.5686617,999275600.4085368
2020-06-24,23.3,24.4,22.6,23.6,82627635.7171241,1947128604.1720047
2020-06-25,23.5,23.8,22.4,22.7,31948707.37521971,734425311.7933675
2020-06-26,22.7,22.9,21.3,21.4,24770092.005233,542797659.5703318
2020-06-27,21.4,21.6,18.4,19.2,67952709.85729074,1347686032.8846116
2020-06-28,19.2,22.3,19.0,21.5,132114135.23474938,2716187253.4771285
